id,Sitio,Piso,r,Ks.ms,a.m,Ks.mmhr,N_Macroporos,N.m2_Macroporos,N_Mesoporos,N_Microporos,O.m_Macroporos,O.m_Mesoporos,O.m_Microporos,PF_Macroporos,PF_Mesoporos,PF_Microporos,trat,rec,S,a.max,w.max,a.105,w.min,a.err,Ys.105,Ys.max,IRDI,Y90.max,a_corr,w.campo,a.campo,tipoR_0,tipoR
7.1.1.Yac,La Yácata,2,0.0455,2.22E-06,12.98223178,7.976675823,2.277564696,350.1854168,695887468.4,NA,1.79E-06,0.054654874,NA,24.65528545,75.33179719,0.012917356,Sub,2,113.79,113.33,0.6,95.99,1.5,17.34,24,10.83,75.86,25.99,0,1.2,90,Sub(2),G(2)
9.0.0.Yac,La Yácata,1,0.0455,2.34E-06,21.47186295,8.42834218,3.64940277,561.1114505,610956305.6,NA,2.87E-06,0.047984396,NA,37.38874549,62.59350161,0.017752898,Sub,2,73.33,107.08,0.3,96.25,1.1,10.83,23.73,14.81,66.66,35.54,0,1.2,90,Sub(2),G(2)
9.1.0.StR,Santa Rita,1,0.0455,6.75E-06,44.80793284,24.31413756,17.55915033,2699.795263,1059230777,NA,1.38E-05,0.083191791,NA,62.35996787,37.61776393,0.022268199,Sup,1,99.73,97.07,0.8,91.59,1.3,5.48,28.1,22.84,76.72,54.82,0,1.3,90,Sup(1),S(1)
9.1.2.Yac,La Yácata,2,0.0455,3.26E-06,18.34885094,11.74820674,4.486542115,689.8252433,911661733.7,NA,3.52E-06,0.071601745,NA,32.9762619,67.00749782,0.016240283,Sub,2,85.89,113.53,0.6,97.07,1,16.46,22.84,10.72,85.89,25.73,68.7,0.9,96.4,Sub(2),G(2)
A.1.1.StR,Santa Rita,2,0.0645,1.49E-06,6.311349665,5.35154803,1.059972692,81.10084417,513696700.8,NA,8.33E-07,0.040345645,NA,17.10316574,82.88741664,0.009417616,Sup,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sup(1),S(1)
A.1.3.StR,Santa Rita,3,0.0645,5.90E-06,10.86712322,21.22592093,5.186357734,396.8196479,1939218372,NA,4.07E-06,0.152305855,NA,21.09877216,78.88990446,0.01132338,Sup,1,4.5,90,0,90,0.1,0,29.7,29.7,45,71.28,0,0.7,90,Sup(1),S(1)
B.0.0.Yac,La Yácata,1,0.0645,6.25E-07,3.512342811,2.248671445,0.192008791,14.6910153,241079347.7,NA,1.51E-07,0.018934328,NA,7.373205932,92.57532768,0.05146639,Sub,2,77.29,113.33,0.3,99.75,1.1,13.58,20.54,10.83,70.26,25.99,0,1.2,90,Sub(2),G(2)
B.1.1.StR,Santa Rita,2,0.0645,2.39E-06,5.010500842,8.619287558,1.033157379,79.04914554,894789972.1,NA,8.11E-07,0.07027664,NA,10.35038173,89.64188773,0.007730538,Sup,1,4.5,90,0,90,0.1,0,29.7,29.7,45,71.28,0,0.6,90,Sup(1),S(1)
B.1.1.Yac,La Yácata,2,0.0645,3.80E-06,13.9681933,13.69435198,4.164287715,318.6188206,1169271685,NA,3.27E-06,0.091834383,NA,26.25793064,73.72846669,0.013602671,Sub,2,46.74,107.08,0.2,92.63,0.7,14.45,27.04,14.81,66.77,35.54,0,0.9,90,Sub(2),G(2)
B.1.3.StR,Santa Rita,3,0.0645,1.13E-06,2.51977581,4.054365366,0.251033393,19.20711754,442481033.6,NA,1.97E-07,0.034752379,NA,5.346503645,94.23951272,0.413983639,Sup,1,4.5,90,0,90,0.1,0,29.7,29.7,45,71.28,0,0.7,90,Sup(1),S(1)
DIPER .1.3.StR,Santa Rita,3,0.09,7.24E-06,13.18893702,26.05081325,7.540466151,296.3215953,2262453112,NA,5.92E-06,0.177692652,NA,24.99413806,74.99279795,0.013063991,Sup,1,4.5,90,0,90,0.1,0,29.7,29.7,45,71.28,0,0.7,90,Sup(1),S(1)
E.0.5.Yac,La Yácata,3,0.0645,3.07E-06,7.289929469,11.04769053,1.880426711,143.8755874,1091263583,NA,1.48E-06,0.085707641,NA,14.6975913,85.29418378,0.008224921,Sub,2,40.56,90.53,0.4,90,0.5,0.53,29.7,29.16,81.12,69.98,0,0.7,90,Sub(2),G(2)
F.1.5.Pin,Pinera Miguel,3,0.0645,2.97E-06,4.681993724,10.68974964,1.201546246,91.93294845,1117689738,NA,9.44E-07,0.087783147,NA,9.705864239,90.28487162,0.009264136,Sub,1,54.48,91.59,0.6,90,0.6,1.59,29.7,28.1,90.8,67.44,0,0.3,90,Sub(1),G(1)
4a,Yeto,1,0.0455,2.79E-06,6.28100013,10.06044766,1.983941559,305.0395903,966686649.6,NA,1.56E-06,0.075923392,NA,17.02836005,82.97163917,NA,Sup,2,0,90,0,90,0,0,29.7,29.7,NA,71.28,,,,Sup(2),S(2)
4a,Yeto,1,0.0455,2.22E-06,4.275285279,7.979862257,1.102678996,169.541662,813861576.5,NA,8.66E-07,0.063920539,NA,11.93204719,88.06764957,NA,Sup,2,,,,,,,,,,,,,,Sup(2),S(2)
4a,Yeto,1,0.0455,5.21E-06,9.793752159,18.75184749,5.484128463,843.2084564,1623202024,NA,4.31E-06,0.127485989,NA,25.25368811,74.74631189,NA,Sup,2,,,,,,,,,,,,,,Sup(2),S(2)
7a,Yeto,1,0.0455,3.16E-06,9.4680955,11.38283847,3.233174834,497.1146062,994906830.2,NA,2.54E-06,0.0781398,NA,24.52674254,75.47325746,NA,Sup,2,,,,,,,,,,,,,,Sup(2),S(2)
7a,Yeto,1,0.0455,8.44E-06,18.42649669,30.39312988,14.84231594,2282.070232,2035537478,NA,1.17E-05,0.15987074,NA,42.16843671,57.83156329,NA,Sup,2,,,,,,,,,,,,,,Sup(2),S(2)
7a,Yeto,1,0.0455,6.85E-06,14.08625889,24.66933066,9.772375301,1502.544944,1879669522,NA,7.68E-06,0.147628899,NA,34.20613665,65.79386335,NA,Sup,2,56.28,113.33,0.1,105.66,0.9,7.67,15.83,10.83,62.53,25.99,,,,Sup(2),S(2)
9a,Yeto,1,0.0455,4.50E-06,10.90854281,16.19292278,5.192545344,798.3762915,1356016258,NA,4.08E-06,0.106501268,NA,27.68957616,72.31042384,NA,Sup,2,22.94,91.77,0,91.77,0.5,0,27.89,27.89,45.88,66.94,,,,Sup(2),S(2)
9a,Yeto,1,0.0455,5.55E-06,8.836641717,19.99771875,5.349021355,822.4351545,1780994655,NA,4.20E-06,0.139878993,NA,23.09697641,76.90302359,NA,Sup,2,,,,,,,,,,,,,,Sup(2),S(2)
9a,Yeto,1,0.0455,1.38E-06,4.392940968,4.96122133,0.703217337,108.1227052,504226400.6,NA,5.52E-07,0.039601849,NA,12.239459,87.76032723,NA,Sup,2,,,,,,,,,,,,,,Sup(2),S(2)
Ba,Yeto,1,0.0645,2.05E-06,6.5795043,7.396955742,1.521471608,116.4111422,704479848.7,NA,1.19E-06,0.055329718,NA,17.76119111,82.23880856,NA,Sup,2,,,,,,,,,,,,,,Sup(2),S(2)
Ba,Yeto,1,0.0645,6.08E-06,5.928336266,21.87214543,4.091797707,313.0724506,2123790660,NA,3.21E-06,0.166802128,NA,16.15414679,83.84585098,NA,Sup,2,0,90,0,90,0,0,29.7,29.7,NA,71.28,,,,Sup(2),S(2)
Ba,Yeto,1,0.0645,2.27E-06,4.070157343,8.16414265,1.077226064,82.42093764,837745550.1,NA,8.46E-07,0.065796382,NA,11.39350962,88.60593248,NA,Sup,2,,,,,,,,,,,,,,Sup(2),S(2)
